run_id,sample_id,question_type,difficulty,modalities,strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,content_types,hit_evidence_ids,question,evidence_rank_improved,evidence_rank_worsened,evidence_lost_after_rerank,evidence_gained_after_rerank
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25,5,2,2,1,1.0,1.0,0.2,1.0,0.84,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,vector,5,2,2,1,1.0,1.0,0.2,1.0,730.61,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-001,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,graph,5,2,2,1,1.0,1.0,0.2,1.0,796.83,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_vector_rrf,5,2,2,1,1.0,1.0,0.2,1.0,731.51,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_vector_graph_rrf,5,2,2,1,1.0,1.0,0.2,1.0,1528.34,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_vector_rrf_query_rerank,5,2,2,1,1.0,1.0,0.2,1.0,731.61,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-003 | doc_003_incident_report-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_vector_rrf_q015_rerank,5,2,0,0,0.0,0.0,0.0,0.0,731.73,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,What is BluePump-X100?,0,0,2,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_vector_graph_rrf_query_rerank,5,2,2,1,1.0,1.0,0.2,1.0,1528.42,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001,text | text | text | text | text,E1 | E2,What is BluePump-X100?,0,0,0,0
rerank_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_vector_graph_rrf_q015_rerank,5,2,0,0,0.0,0.0,0.0,0.0,1528.56,5,doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-002 | doc_003_incident_report-chunk-000,text | text | text | text | text,,What is BluePump-X100?,0,0,2,0
rerank_ablation_v0_001,EVAL-0002,fact,easy,text,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.79,5,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-003 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000,text | text | text | text | text,E1,Which pipeline does BluePump-X100 move cooling water through?,0,0,0,0
