question_type,route,samples,hit_at_5,recall_at_5,mrr,context_precision,context_recall,latency_ms,all_evidence_hit_samples
causal_reasoning,bm25,2,1.0,1.0,1.0,0.3,1.0,0.68,2
causal_reasoning,graph,2,1.0,1.0,0.75,0.3,1.0,805.38,2
causal_reasoning,vector,2,1.0,1.0,0.75,0.3,1.0,697.45,2
cross_document,graph,2,1.0,1.0,1.0,0.4,1.0,745.38,2
cross_document,vector,2,1.0,1.0,0.75,0.4,1.0,685.18,2
cross_document,bm25,2,1.0,0.75,1.0,0.3,0.75,0.81,1
cross_paragraph,bm25,1,1.0,1.0,1.0,0.4,1.0,0.69,1
cross_paragraph,graph,1,1.0,1.0,1.0,0.4,1.0,871.88,1
cross_paragraph,vector,1,1.0,1.0,1.0,0.4,1.0,705.41,1
entity_relation,bm25,3,1.0,1.0,1.0,0.2,1.0,0.96,3
entity_relation,graph,3,1.0,1.0,0.8333,0.2,1.0,785.03,3
entity_relation,vector,3,1.0,1.0,0.8333,0.2,1.0,741.63,3
fact,bm25,4,1.0,1.0,1.0,0.2,1.0,0.73,4
fact,vector,4,1.0,1.0,0.875,0.2,1.0,1225.48,4
fact,graph,4,0.75,0.75,0.75,0.15,0.75,953.95,3
global_summary,bm25,1,1.0,0.25,1.0,0.2,0.25,1.02,0
global_summary,graph,1,1.0,0.25,1.0,0.2,0.25,882.86,0
global_summary,vector,1,1.0,0.25,1.0,0.2,0.25,706.88,0
image,bm25,1,1.0,1.0,1.0,0.2,1.0,0.92,1
image,vector,1,1.0,1.0,1.0,0.2,1.0,664.45,1
image,graph,1,0.0,0.0,0.0,0.0,0.0,1549.41,0
multi_hop,bm25,1,1.0,1.0,1.0,0.4,1.0,0.94,1
multi_hop,vector,1,1.0,1.0,1.0,0.4,1.0,655.26,1
multi_hop,graph,1,0.0,0.0,0.0,0.0,0.0,1562.98,0
numeric,bm25,3,1.0,1.0,1.0,0.2,1.0,0.81,3
numeric,graph,3,1.0,1.0,1.0,0.2,1.0,797.34,3
numeric,vector,3,1.0,1.0,1.0,0.2,1.0,721.27,3
table,bm25,2,1.0,1.0,1.0,0.2,1.0,0.85,2
table,vector,2,1.0,1.0,1.0,0.2,1.0,688.86,2
table,graph,2,0.0,0.0,0.0,0.0,0.0,3164.95,0
