sample_id,question_type,question,router_name,route,selected_strategy,use_graph,use_rerank,reason
EVAL-0001,fact,What is BluePump-X100?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0001,fact,What is BluePump-X100?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0001,fact,What is BluePump-X100?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0001,fact,What is BluePump-X100?,router_oracle_by_type,oracle_fact,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0002,fact,Which pipeline does BluePump-X100 move cooling water through?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0002,fact,Which pipeline does BluePump-X100 move cooling water through?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0002,fact,Which pipeline does BluePump-X100 move cooling water through?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0002,fact,Which pipeline does BluePump-X100 move cooling water through?,router_oracle_by_type,oracle_fact,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0003,fact,What is Filter-F33?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0003,fact,What is Filter-F33?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0003,fact,What is Filter-F33?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0003,fact,What is Filter-F33?,router_oracle_by_type,oracle_fact,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0004,entity_relation,What does Safety-Regulation-42 require for BluePump-X100?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0004,entity_relation,What does Safety-Regulation-42 require for BluePump-X100?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0004,entity_relation,What does Safety-Regulation-42 require for BluePump-X100?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0004,entity_relation,What does Safety-Regulation-42 require for BluePump-X100?,router_oracle_by_type,oracle_entity_relation,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0005,cross_paragraph,Which sensors report to ControlSystem-CS1?,router_safe,multi_evidence,bm25_vector_rrf,False,False,"Multi-evidence questions can contain exact IDs, but need broader BM25+Vector coverage instead of pure BM25."
EVAL-0005,cross_paragraph,Which sensors report to ControlSystem-CS1?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0005,cross_paragraph,Which sensors report to ControlSystem-CS1?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0005,cross_paragraph,Which sensors report to ControlSystem-CS1?,router_oracle_by_type,oracle_cross_paragraph,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0006,entity_relation,What does Sensor T-200 monitor?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0006,entity_relation,What does Sensor T-200 monitor?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0006,entity_relation,What does Sensor T-200 monitor?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0006,entity_relation,What does Sensor T-200 monitor?,router_oracle_by_type,oracle_entity_relation,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0007,numeric,What is the design pressure of Pipeline-7A?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0007,numeric,What is the design pressure of Pipeline-7A?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0007,numeric,What is the design pressure of Pipeline-7A?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0007,numeric,What is the design pressure of Pipeline-7A?,router_oracle_by_type,oracle_numeric,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0008,numeric,What is the alarm threshold for Pipeline-7A?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0008,numeric,What is the alarm threshold for Pipeline-7A?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0008,numeric,What is the alarm threshold for Pipeline-7A?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0008,numeric,What is the alarm threshold for Pipeline-7A?,router_oracle_by_type,oracle_numeric,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0009,numeric,When must Sensor P-210 trigger a high-pressure alarm?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0009,numeric,When must Sensor P-210 trigger a high-pressure alarm?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0009,numeric,When must Sensor P-210 trigger a high-pressure alarm?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0009,numeric,When must Sensor P-210 trigger a high-pressure alarm?,router_oracle_by_type,oracle_numeric,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0010,causal_reasoning,What happened in incident IR-2024-017?,router_safe,multi_evidence,bm25_vector_rrf,False,False,"Multi-evidence questions can contain exact IDs, but need broader BM25+Vector coverage instead of pure BM25."
EVAL-0010,causal_reasoning,What happened in incident IR-2024-017?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0010,causal_reasoning,What happened in incident IR-2024-017?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0010,causal_reasoning,What happened in incident IR-2024-017?,router_oracle_by_type,oracle_causal_reasoning,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0011,cross_document,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?,router_safe,multi_evidence,bm25_vector_rrf,False,False,"Multi-evidence questions can contain exact IDs, but need broader BM25+Vector coverage instead of pure BM25."
EVAL-0011,cross_document,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0011,cross_document,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0011,cross_document,Which safety device required by Safety-Regulation-42 was verified after IR-2024-017?,router_oracle_by_type,oracle_cross_document,bm25_vector_rrf,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0012,cross_document,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?,router_safe,multi_evidence,bm25_vector_rrf,False,False,"Multi-evidence questions can contain exact IDs, but need broader BM25+Vector coverage instead of pure BM25."
EVAL-0012,cross_document,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0012,cross_document,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0012,cross_document,Was Pipeline-7A pressure above the alarm threshold during IR-2024-017 inspection?,router_oracle_by_type,oracle_cross_document,bm25_vector_rrf,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0013,entity_relation,Which components must be inspected after an abnormal temperature report from Sensor T-200?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0013,entity_relation,Which components must be inspected after an abnormal temperature report from Sensor T-200?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0013,entity_relation,Which components must be inspected after an abnormal temperature report from Sensor T-200?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0013,entity_relation,Which components must be inspected after an abnormal temperature report from Sensor T-200?,router_oracle_by_type,oracle_entity_relation,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0014,causal_reasoning,What maintenance action resolved the abnormal temperature in IR-2024-017?,router_safe,multi_evidence,bm25_vector_rrf,False,False,"Multi-evidence questions can contain exact IDs, but need broader BM25+Vector coverage instead of pure BM25."
EVAL-0014,causal_reasoning,What maintenance action resolved the abnormal temperature in IR-2024-017?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0014,causal_reasoning,What maintenance action resolved the abnormal temperature in IR-2024-017?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0014,causal_reasoning,What maintenance action resolved the abnormal temperature in IR-2024-017?,router_oracle_by_type,oracle_causal_reasoning,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0015,global_summary,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.,router_safe,global_summary,bm25_vector_rrf_q015_rerank,False,True,Global summary needs a wider candidate pool and a summary-aware reranker.
EVAL-0015,global_summary,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.,router_graph_rerank,global_summary,bm25_vector_graph_rrf_q015_rerank,True,True,"Aggressively include Graph for global summary, then rerank."
EVAL-0015,global_summary,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0015,global_summary,Summarize the safety chain involving BluePump-X100 across the manuals and incident report.,router_oracle_by_type,oracle_global_summary,bm25_vector_rrf_q015_rerank,False,True,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0016,table,What is the measured pressure of Pipeline-7A in the inspection table?,router_safe,table_lookup,bm25_vector_rrf,False,False,Table queries in this dataset are already stable with BM25+Vector RRF.
EVAL-0016,table,What is the measured pressure of Pipeline-7A in the inspection table?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0016,table,What is the measured pressure of Pipeline-7A in the inspection table?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0016,table,What is the measured pressure of Pipeline-7A in the inspection table?,router_oracle_by_type,oracle_table,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0017,table,Was Pipeline-7A below the alarm threshold according to the table?,router_safe,table_lookup,bm25_vector_rrf,False,False,Table queries in this dataset are already stable with BM25+Vector RRF.
EVAL-0017,table,Was Pipeline-7A below the alarm threshold according to the table?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0017,table,Was Pipeline-7A below the alarm threshold according to the table?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0017,table,Was Pipeline-7A below the alarm threshold according to the table?,router_oracle_by_type,oracle_table,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0018,image,Where is ReliefValve-RV9 installed according to the diagram?,router_safe,image_lookup,bm25_vector_rrf,False,False,Image chunks are retrieved well by text/caption embeddings here.
EVAL-0018,image,Where is ReliefValve-RV9 installed according to the diagram?,router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0018,image,Where is ReliefValve-RV9 installed according to the diagram?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0018,image,Where is ReliefValve-RV9 installed according to the diagram?,router_oracle_by_type,oracle_image,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0019,fact,Which equipment was reviewed after incident IR-2024-017?,router_safe,exact_or_numeric,bm25,False,False,"Exact IDs, entity names, and numeric values are safest with BM25."
EVAL-0019,fact,Which equipment was reviewed after incident IR-2024-017?,router_graph_rerank,exact_or_numeric,bm25,False,False,Keep exact/numeric questions on BM25.
EVAL-0019,fact,Which equipment was reviewed after incident IR-2024-017?,router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0019,fact,Which equipment was reviewed after incident IR-2024-017?,router_oracle_by_type,oracle_fact,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
EVAL-0020,multi_hop,"According to the table and diagram, what was Pipeline-7A's pressure status and where was ReliefValve-RV9 installed?",router_safe,table_lookup,bm25_vector_rrf,False,False,Table queries in this dataset are already stable with BM25+Vector RRF.
EVAL-0020,multi_hop,"According to the table and diagram, what was Pipeline-7A's pressure status and where was ReliefValve-RV9 installed?",router_graph_rerank,graph_enriched,bm25_vector_graph_rrf_query_rerank,True,True,Use Graph-enriched fusion and query-aware rerank for complex questions.
EVAL-0020,multi_hop,"According to the table and diagram, what was Pipeline-7A's pressure status and where was ReliefValve-RV9 installed?",router_always_q015_rerank,always_rerank,bm25_vector_rrf_q015_rerank,False,True,Negative-control router: always applies a summary-biased reranker.
EVAL-0020,multi_hop,"According to the table and diagram, what was Pipeline-7A's pressure status and where was ReliefValve-RV9 installed?",router_oracle_by_type,oracle_multi_hop,bm25,False,False,Upper-bound router: chooses the best historical strategy for this question_type.
