strategy,transition,run_id,version,check_id,query,required_terms,forbidden_terms,query_pass,top_chunk_ids,top_context_preview
full_reindex,v1_to_v2_threshold_update,incremental_index_ablation_v0_001,v2,INC-Q002,What is the alarm threshold for Pipeline-7A?,alarm threshold for pipeline-7a is 9.2 mpa,alarm threshold for pipeline-7a is 9.5 mpa | pressure reaches 9.5 mpa,True,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003,"# safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is 9.2 mpa.  sensor p-210 must trigger a high-pressure alarm when pipeline-7a pressure reaches 9.2 mpa. # incident report ir-2024-017 ## event summary  on 2024-07-12, s"
incremental_with_graph_cleanup,v1_to_v2_threshold_update,incremental_index_ablation_v0_001,v2,INC-Q002,What is the alarm threshold for Pipeline-7A?,alarm threshold for pipeline-7a is 9.2 mpa,alarm threshold for pipeline-7a is 9.5 mpa | pressure reaches 9.5 mpa,True,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003,"# safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is 9.2 mpa.  sensor p-210 must trigger a high-pressure alarm when pipeline-7a pressure reaches 9.2 mpa. # incident report ir-2024-017 ## event summary  on 2024-07-12, s"
incremental_without_delete,v1_to_v2_threshold_update,incremental_index_ablation_v0_001,v2,INC-Q002,What is the alarm threshold for Pipeline-7A?,alarm threshold for pipeline-7a is 9.2 mpa,alarm threshold for pipeline-7a is 9.5 mpa | pressure reaches 9.5 mpa,True,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003,"# safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is 9.2 mpa.  sensor p-210 must trigger a high-pressure alarm when pipeline-7a pressure reaches 9.2 mpa. # incident report ir-2024-017 ## event summary  on 2024-07-12, s"
incremental_without_hash,v1_to_v2_threshold_update,incremental_index_ablation_v0_001,v2,INC-Q002,What is the alarm threshold for Pipeline-7A?,alarm threshold for pipeline-7a is 9.2 mpa,alarm threshold for pipeline-7a is 9.5 mpa | pressure reaches 9.5 mpa,False,doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003,"# safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is 9.5 mpa.  sensor p-210 must trigger a high-pressure alarm when pipeline-7a pressure reaches 9.5 mpa. # incident report ir-2024-017 ## event summary  on 2024-07-12, s"
unstable_chunk_id,v1_to_v2_threshold_update,incremental_index_ablation_v0_001,v2,INC-Q002,What is the alarm threshold for Pipeline-7A?,alarm threshold for pipeline-7a is 9.2 mpa,alarm threshold for pipeline-7a is 9.5 mpa | pressure reaches 9.5 mpa,True,doc_002_safety_rules-unstable-2-005 | doc_003_incident_report-unstable-1-007 | doc_003_incident_report-unstable-1-009 | doc_001_equipment-unstable-1-000 | doc_001_equipment-unstable-1-003,"# safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is 9.2 mpa.  sensor p-210 must trigger a high-pressure alarm when pipeline-7a pressure reaches 9.2 mpa. # incident report ir-2024-017 ## event summary  on 2024-07-12, s"
full_reindex,v2_to_v3_add_followup,incremental_index_ablation_v0_001,v3,INC-Q004,When is the follow-up inspection scheduled?,follow-up inspection | 30 days,,True,doc_003_incident_report-chunk-004 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-002 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002,"# incident report ir-2024-017 ## follow-up verification  after maintenance, the team scheduled a follow-up inspection for filter-f33 and pipeline-7a within 30 days. # safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is "
incremental_with_graph_cleanup,v2_to_v3_add_followup,incremental_index_ablation_v0_001,v3,INC-Q004,When is the follow-up inspection scheduled?,follow-up inspection | 30 days,,True,doc_003_incident_report-chunk-004 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-002 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002,"# incident report ir-2024-017 ## follow-up verification  after maintenance, the team scheduled a follow-up inspection for filter-f33 and pipeline-7a within 30 days. # safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is "
incremental_without_delete,v2_to_v3_add_followup,incremental_index_ablation_v0_001,v3,INC-Q004,When is the follow-up inspection scheduled?,follow-up inspection | 30 days,,True,doc_003_incident_report-chunk-004 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-002 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002,"# incident report ir-2024-017 ## follow-up verification  after maintenance, the team scheduled a follow-up inspection for filter-f33 and pipeline-7a within 30 days. # safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is "
incremental_without_hash,v2_to_v3_add_followup,incremental_index_ablation_v0_001,v3,INC-Q004,When is the follow-up inspection scheduled?,follow-up inspection | 30 days,,True,doc_003_incident_report-chunk-004 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-002 | doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-002,"# incident report ir-2024-017 ## follow-up verification  after maintenance, the team scheduled a follow-up inspection for filter-f33 and pipeline-7a within 30 days. # safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is "
unstable_chunk_id,v2_to_v3_add_followup,incremental_index_ablation_v0_001,v3,INC-Q004,When is the follow-up inspection scheduled?,follow-up inspection | 30 days,,True,doc_003_incident_report-unstable-3-011 | doc_002_safety_rules-unstable-2-005 | doc_001_equipment-unstable-1-002 | doc_001_equipment-unstable-1-000 | doc_003_incident_report-unstable-1-009,"# incident report ir-2024-017 ## follow-up verification  after maintenance, the team scheduled a follow-up inspection for filter-f33 and pipeline-7a within 30 days. # safety regulation manual ## pipeline-7a pressure rule  pipeline-7a design pressure is 10 mpa. the alarm threshold for pipeline-7a is "
full_reindex,v3_to_v4_delete_control_system,incremental_index_ablation_v0_001,v4,INC-Q005,What does ControlSystem-CS1 start when either sensor reports an abnormal event?,,controlsystem-cs1 starts an inspection workflow when either sensor reports an abnormal event,True,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001,# refinery cooling system equipment manual ## sensors  sensor t-200 monitors bluepump-x100 outlet temperature. sensor t-200 reports abnormal temperature events to controlsystem-cs1.  sensor p-210 monitors pipeline-7a pressure. sensor p-210 reports high-pressure alarms to controlsystem-cs1. # inciden
incremental_with_graph_cleanup,v3_to_v4_delete_control_system,incremental_index_ablation_v0_001,v4,INC-Q005,What does ControlSystem-CS1 start when either sensor reports an abnormal event?,,controlsystem-cs1 starts an inspection workflow when either sensor reports an abnormal event,True,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001,# refinery cooling system equipment manual ## sensors  sensor t-200 monitors bluepump-x100 outlet temperature. sensor t-200 reports abnormal temperature events to controlsystem-cs1.  sensor p-210 monitors pipeline-7a pressure. sensor p-210 reports high-pressure alarms to controlsystem-cs1. # inciden
incremental_without_delete,v3_to_v4_delete_control_system,incremental_index_ablation_v0_001,v4,INC-Q005,What does ControlSystem-CS1 start when either sensor reports an abnormal event?,,controlsystem-cs1 starts an inspection workflow when either sensor reports an abnormal event,False,doc_001_equipment-chunk-002 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-001,# refinery cooling system equipment manual ## control system  controlsystem-cs1 receives anomaly reports from sensor t-200 and sensor p-210. controlsystem-cs1 starts an inspection workflow when either sensor reports an abnormal event. # refinery cooling system equipment manual ## sensors  sensor t-2
incremental_without_hash,v3_to_v4_delete_control_system,incremental_index_ablation_v0_001,v4,INC-Q005,What does ControlSystem-CS1 start when either sensor reports an abnormal event?,,controlsystem-cs1 starts an inspection workflow when either sensor reports an abnormal event,True,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-002 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001,# refinery cooling system equipment manual ## sensors  sensor t-200 monitors bluepump-x100 outlet temperature. sensor t-200 reports abnormal temperature events to controlsystem-cs1.  sensor p-210 monitors pipeline-7a pressure. sensor p-210 reports high-pressure alarms to controlsystem-cs1. # inciden
