run_id,sample_id,question_type,difficulty,modalities,strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,content_types,hit_evidence_ids,question,target_content_types,candidate_space,filtered_candidate_space,candidate_space_reduction,router_route,expected_content_types,content_type_precision,is_multimodal_target
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_unfiltered,1,2,2,1,1.0,1.0,1.0,1.0,1.1,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?,all,14,14,0.0,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_unfiltered,3,2,2,1,1.0,1.0,0.3333,1.0,1.1,3,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001,text | text | text,E1 | E2,What is BluePump-X100?,all,14,14,0.0,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_unfiltered,5,2,2,1,1.0,1.0,0.2,1.0,1.1,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,all,14,14,0.0,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_metadata_filtered,1,2,2,1,1.0,1.0,1.0,1.0,0.58,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?,text,14,12,0.1429,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_metadata_filtered,3,2,2,1,1.0,1.0,0.3333,1.0,0.58,3,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-000,text | text | text,E1 | E2,What is BluePump-X100?,text,14,12,0.1429,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,bm25_metadata_filtered,5,2,2,1,1.0,1.0,0.2,1.0,0.58,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?,text,14,12,0.1429,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,vector_unfiltered,1,2,2,1,1.0,1.0,1.0,1.0,34324.74,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?,all,14,14,0.0,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,vector_unfiltered,3,2,2,1,1.0,1.0,0.3333,1.0,34324.74,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,text | text | text,E1 | E2,What is BluePump-X100?,all,14,14,0.0,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,vector_unfiltered,5,2,2,1,1.0,1.0,0.2,1.0,34324.74,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-001,text | text | text | text | text,E1 | E2,What is BluePump-X100?,all,14,14,0.0,,text,1.0,False
metadata_filter_ablation_v0_001,EVAL-0001,fact,easy,text,vector_metadata_post_filter,1,2,2,1,1.0,1.0,1.0,1.0,695.51,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?,text,14,12,0.1429,,text,1.0,False
