run_id,sample_id,question_type,difficulty,chunking_strategy,retrieval_strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,question
chunking_ablation_v0_001,EVAL-0001,fact,easy,fixed,bm25,1,2,2,1,1.0,1.0,1.0,1.0,0.62,1,doc_001_equipment-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,fixed,bm25,3,2,2,1,1.0,1.0,0.3333,1.0,0.62,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,fixed,bm25,5,2,2,1,1.0,1.0,0.2,1.0,0.62,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,fixed,vector,1,2,2,1,1.0,1.0,1.0,1.0,2219.39,1,doc_001_equipment-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,fixed,vector,3,2,2,1,1.0,1.0,0.3333,1.0,2219.39,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0001,fact,easy,fixed,vector,5,2,2,1,1.0,1.0,0.2,1.0,2219.39,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-002,What is BluePump-X100?
chunking_ablation_v0_001,EVAL-0002,fact,easy,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.71,1,doc_001_equipment-chunk-000,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,fixed,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.71,3,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,fixed,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.71,5,doc_001_equipment-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-001,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,fixed,vector,1,1,1,1,1.0,1.0,1.0,1.0,360.02,1,doc_001_equipment-chunk-000,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,fixed,vector,3,1,1,1,1.0,1.0,0.3333,1.0,360.02,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0002,fact,easy,fixed,vector,5,1,1,1,1.0,1.0,0.2,1.0,360.02,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_003_incident_report-chunk-001 | doc_001_equipment-chunk-001,Which pipeline does BluePump-X100 move cooling water through?
chunking_ablation_v0_001,EVAL-0003,fact,easy,fixed,bm25,1,2,2,1,1.0,1.0,1.0,1.0,0.56,1,doc_001_equipment-chunk-001,What is Filter-F33?
chunking_ablation_v0_001,EVAL-0003,fact,easy,fixed,bm25,3,2,2,1,1.0,1.0,0.3333,1.0,0.56,3,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-001,What is Filter-F33?
chunking_ablation_v0_001,EVAL-0003,fact,easy,fixed,bm25,5,2,2,1,1.0,1.0,0.2,1.0,0.56,5,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000,What is Filter-F33?
chunking_ablation_v0_001,EVAL-0003,fact,easy,fixed,vector,1,2,2,1,1.0,1.0,1.0,1.0,348.9,1,doc_001_equipment-chunk-001,What is Filter-F33?
chunking_ablation_v0_001,EVAL-0003,fact,easy,fixed,vector,3,2,2,1,1.0,1.0,0.3333,1.0,348.9,3,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-001,What is Filter-F33?
chunking_ablation_v0_001,EVAL-0003,fact,easy,fixed,vector,5,2,2,1,1.0,1.0,0.2,1.0,348.9,5,doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-001 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_002_safety_rules-chunk-000,What is Filter-F33?
chunking_ablation_v0_001,EVAL-0004,entity_relation,easy,fixed,bm25,1,1,1,1,1.0,1.0,1.0,1.0,0.56,1,doc_002_safety_rules-chunk-000,What does Safety-Regulation-42 require for BluePump-X100?
chunking_ablation_v0_001,EVAL-0004,entity_relation,easy,fixed,bm25,3,1,1,1,1.0,1.0,0.3333,1.0,0.56,3,doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000,What does Safety-Regulation-42 require for BluePump-X100?
chunking_ablation_v0_001,EVAL-0004,entity_relation,easy,fixed,bm25,5,1,1,1,1.0,1.0,0.2,1.0,0.56,5,doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-001,What does Safety-Regulation-42 require for BluePump-X100?
chunking_ablation_v0_001,EVAL-0004,entity_relation,easy,fixed,vector,1,1,1,1,1.0,1.0,1.0,1.0,399.6,1,doc_002_safety_rules-chunk-000,What does Safety-Regulation-42 require for BluePump-X100?
chunking_ablation_v0_001,EVAL-0004,entity_relation,easy,fixed,vector,3,1,1,1,1.0,1.0,0.3333,1.0,399.6,3,doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001,What does Safety-Regulation-42 require for BluePump-X100?
chunking_ablation_v0_001,EVAL-0004,entity_relation,easy,fixed,vector,5,1,1,1,1.0,1.0,0.2,1.0,399.6,5,doc_002_safety_rules-chunk-000 | doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-001 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001,What does Safety-Regulation-42 require for BluePump-X100?
chunking_ablation_v0_001,EVAL-0005,cross_paragraph,medium,fixed,bm25,1,3,2,1,0.6667,1.0,1.0,0.6667,0.58,1,doc_001_equipment-chunk-001,Which sensors report to ControlSystem-CS1?
