run_id,sample_id,question_type,difficulty,modalities,strategy,k,expected_evidence_count,hit_evidence_count,hit_at_k,recall_at_k,mrr,context_precision,context_recall,latency_ms,returned_chunks,chunk_ids,content_types,hit_evidence_ids,question
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,bm25,1,2,2,1,1.0,1.0,1.0,1.0,1.15,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,bm25,3,2,2,1,1.0,1.0,0.3333,1.0,1.15,3,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001,text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,bm25,5,2,2,1,1.0,1.0,0.2,1.0,1.15,5,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000,text | text | text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,bm25,10,2,2,1,1.0,1.0,0.1,1.0,1.15,10,doc_001_equipment-chunk-000 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_002_safety_rules-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_004_pipeline_inspection-chunk-002 | doc_002_safety_rules-chunk-002 | doc_003_incident_report-chunk-002 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-000,text | text | text | text | text | image | text | text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,vector,1,2,2,1,1.0,1.0,1.0,1.0,34989.29,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,vector,3,2,2,1,1.0,1.0,0.3333,1.0,34989.29,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,vector,5,2,2,1,1.0,1.0,0.2,1.0,34989.29,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-001,text | text | text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,vector,10,2,2,1,1.0,1.0,0.1,1.0,34989.29,10,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_004_pipeline_inspection-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002 | doc_004_pipeline_inspection-chunk-002 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001,text | text | text | text | text | text | image | text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,graph,1,2,2,1,1.0,1.0,1.0,1.0,4112.05,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,graph,3,2,2,1,1.0,1.0,0.3333,1.0,4112.05,3,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000,text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,graph,5,2,2,1,1.0,1.0,0.2,1.0,4112.05,5,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002,text | text | text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,graph,10,2,2,1,1.0,1.0,0.1,1.0,4112.05,10,doc_001_equipment-chunk-000 | doc_002_safety_rules-chunk-000 | doc_003_incident_report-chunk-000 | doc_001_equipment-chunk-001 | doc_003_incident_report-chunk-002 | doc_002_safety_rules-chunk-002 | doc_001_equipment-chunk-003 | doc_002_safety_rules-chunk-001 | doc_001_equipment-chunk-002 | doc_003_incident_report-chunk-003,text | text | text | text | text | text | text | text | text | text,E1 | E2,What is BluePump-X100?
hybrid_retrieval_v0_001,EVAL-0001,fact,easy,text,bm25_vector_rrf,1,2,2,1,1.0,1.0,1.0,1.0,34990.5,1,doc_001_equipment-chunk-000,text,E1 | E2,What is BluePump-X100?
